,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
224,Abeche,75,TD,2019-10-28 21:43:08,28,13.83,20.83,298.13,5.58
225,Saldanha,69,PT,2019-10-28 21:43:08,97,41.42,-6.55,284.62,0.88
226,Husavik,89,CA,2019-10-28 21:43:08,89,50.56,-96.99,271.48,1.79
227,Mahibadhoo,100,MV,2019-10-28 21:43:08,73,3.78,72.97,301.31,5.73
228,Teguldet,97,RU,2019-10-28 21:43:08,69,57.31,88.17,281.79,8.18
229,Progreso,90,UY,2019-10-28 21:43:08,100,-34.68,-56.22,290.37,6.2
230,Taltal,0,CL,2019-10-28 21:43:09,78,-25.41,-70.49,284.1,0.64
231,Guilin,0,CN,2019-10-28 21:43:09,53,25.28,110.29,296.15,2.0
232,Tazovskiy,87,RU,2019-10-28 21:43:09,96,67.47,78.7,257.23,4.68
233,Cairns,90,AU,2019-10-28 21:40:09,65,-16.92,145.77,300.15,2.1
234,Luckenwalde,75,DE,2019-10-28 21:43:09,100,52.09,13.16,279.26,1.0
235,Christiana,0,ZA,2019-10-28 21:43:10,28,-27.91,25.16,283.96,5.91
236,Rio Gallegos,90,AR,2019-10-28 21:43:10,80,-51.62,-69.22,277.15,3.1
237,West Wendover,90,US,2019-10-28 21:43:10,47,40.74,-114.07,275.15,7.2
238,Yamada,75,JP,2019-10-28 21:43:10,77,36.58,137.08,290.37,3.1
239,Matara,54,BI,2019-10-28 21:43:10,77,-3.48,29.48,292.5,0.45
240,Kahului,40,US,2019-10-28 21:42:02,61,20.89,-156.47,300.15,6.7
241,Pevek,100,RU,2019-10-28 21:43:11,93,69.7,170.27,256.12,2.62
242,Tigil,100,RU,2019-10-28 21:43:11,88,57.8,158.67,272.5,3.19
243,Portland,90,US,2019-10-28 21:38:41,93,43.66,-70.25,282.59,4.21
244,Taitung,40,TW,2019-10-28 21:43:11,62,22.76,121.15,302.15,5.1
245,Benjamin Aceval,85,PY,2019-10-28 21:43:11,58,-24.97,-57.57,302.15,5.7
246,Cayenne,74,GF,2019-10-28 21:43:11,94,4.94,-52.33,297.15,1.65
247,Hami,32,CN,2019-10-28 21:43:12,19,42.84,93.51,286.83,2.75
248,Olinda,5,AU,2019-10-28 21:43:12,17,-37.84,145.39,303.15,6.2
249,Mount Gambier,17,AU,2019-10-28 21:43:12,24,-37.83,140.78,300.15,10.8
250,Port Hardy,20,CA,2019-10-28 21:43:12,100,50.7,-127.42,274.15,2.1
251,Polyarnyy,75,RU,2019-10-28 21:43:12,92,69.2,33.45,265.15,1.0
252,Sainte-Anne-des-Monts,100,CA,2019-10-28 21:43:13,90,49.13,-66.49,276.16,2.95
253,Los Llanos de Aridane,37,ES,2019-10-28 21:43:13,64,28.66,-17.92,296.48,2.1
254,Immokalee,1,US,2019-10-28 21:43:13,88,26.42,-81.42,301.15,2.57
255,Ambovombe,4,MG,2019-10-28 21:43:13,25,-25.18,46.09,309.32,1.88
256,Iracoubo,40,GF,2019-10-28 21:43:13,79,5.48,-53.21,300.81,6.22
257,Ranfurly,86,CA,2019-10-28 21:43:14,84,53.41,-111.68,263.52,5.75
258,Ceres,46,BR,2019-10-28 21:43:14,86,-15.31,-49.6,292.91,1.68
259,Calama,1,CL,2019-10-28 21:43:14,29,-22.46,-68.93,285.37,8.7
260,Nhulunbuy,40,AU,2019-10-28 21:43:14,43,-12.18,136.78,305.15,7.2
261,Bambous Virieux,75,MU,2019-10-28 21:43:14,73,-20.34,57.76,298.71,3.1
262,Shingu,75,JP,2019-10-28 21:43:14,93,33.72,135.99,291.15,3.1
263,Mbekenyera,13,TZ,2019-10-28 21:43:15,51,-10.0,38.98,300.31,2.65
264,Yulara,0,AU,2019-10-28 21:43:15,7,-25.24,130.99,306.15,2.1
265,Saskylakh,0,RU,2019-10-28 21:43:15,98,71.97,114.09,253.71,2.87
266,Thompson,90,CA,2019-10-28 21:43:15,85,55.74,-97.86,265.15,5.1
267,Upernavik,100,GL,2019-10-28 21:43:16,95,72.79,-56.15,270.38,4.24
268,Ito,75,JP,2019-10-28 21:43:16,93,34.93,139.09,289.15,7.2
269,Rikitea,47,PF,2019-10-28 21:43:16,84,-23.12,-134.97,294.88,5.78
270,Vallenar,17,CL,2019-10-28 21:43:16,64,-28.58,-70.76,282.95,0.99
271,New Norfolk,38,AU,2019-10-28 21:43:16,9,-42.78,147.06,300.15,11.3
272,Mairana,62,BO,2019-10-28 21:43:17,98,-18.12,-63.96,289.03,1.16
273,Pisco,25,PE,2019-10-28 21:43:17,82,-13.71,-76.2,290.37,3.1
274,Atuona,12,PF,2019-10-28 21:43:17,76,-9.8,-139.03,299.88,7.02
275,Pacific Grove,1,US,2019-10-28 21:43:17,37,36.62,-121.92,286.48,2.1
276,Shubarshi,64,KZ,2019-10-28 21:43:17,27,48.59,57.19,286.8,5.8
277,La Rioja,0,AR,2019-10-28 21:39:24,76,-29.41,-66.86,290.63,0.5
278,Severodvinsk,40,RU,2019-10-28 21:43:18,100,64.56,39.82,267.15,2.0
279,Pimenta Bueno,51,BR,2019-10-28 21:43:18,85,-11.68,-61.19,295.32,0.75
280,Port Macquarie,0,AU,2019-10-28 21:43:18,50,-31.43,152.91,297.15,9.8
281,Port Elizabeth,90,US,2019-10-28 21:43:18,82,39.31,-74.98,288.71,1.17
282,East London,0,ZA,2019-10-28 21:43:19,45,-33.02,27.91,289.15,7.7
283,Acapulco,75,MX,2019-10-28 21:41:59,88,16.86,-99.88,300.15,2.6
284,Palana,100,RU,2019-10-28 21:43:19,71,59.08,159.95,273.28,1.89
285,Alta Floresta,30,BR,2019-10-28 21:43:19,94,-9.87,-56.08,294.1,0.57
286,Grand Gaube,75,MU,2019-10-28 21:43:19,73,-20.01,57.66,298.71,3.1
287,Northam,94,AU,2019-10-28 21:43:19,36,-31.65,116.67,298.15,7.2
288,Masallatah,92,LY,2019-10-28 21:43:20,59,32.62,14.0,292.38,4.13
289,Bonfim,100,BR,2019-10-28 21:43:20,92,-20.33,-44.24,290.4,0.15
290,Cidreira,60,BR,2019-10-28 21:43:20,77,-30.17,-50.22,296.46,5.28
291,Sosnovo-Ozerskoye,100,RU,2019-10-28 21:43:20,81,52.53,111.54,274.49,7.52
292,Kudahuvadhoo,45,MV,2019-10-28 21:43:20,69,2.67,72.89,301.4,1.59
293,Vardo,40,US,2019-10-28 21:43:21,87,39.62,-77.74,287.15,2.65
294,Linfen,0,CN,2019-10-28 21:43:21,19,36.09,111.52,292.5,2.51
295,Mahebourg,75,MU,2019-10-28 21:43:21,73,-20.41,57.7,298.71,3.1
296,Salmo,50,CA,2019-10-28 21:43:21,30,49.19,-117.28,272.59,1.79
297,Vizinga,64,RU,2019-10-28 21:43:21,87,61.08,50.08,267.54,2.92
298,Dvorichna,72,UA,2019-10-28 21:43:22,73,49.85,37.68,280.57,2.31
299,Yar-Sale,75,RU,2019-10-28 21:43:22,81,66.83,70.83,261.51,7.34
300,Nome,40,US,2019-10-28 21:43:22,93,30.04,-94.42,294.26,1.5
301,Maraba,25,BR,2019-10-28 21:43:22,88,-5.35,-49.1,299.15,1.0
302,Vanavara,92,RU,2019-10-28 21:43:22,96,60.35,102.28,271.89,1.77
303,Igarka,56,RU,2019-10-28 21:43:23,95,67.47,86.57,256.67,2.79
304,Sao Joao da Barra,0,BR,2019-10-28 21:43:23,86,-21.64,-41.05,296.93,8.46
305,San Angelo,90,US,2019-10-28 21:40:24,75,31.46,-100.44,281.48,5.7
306,Makakilo City,20,US,2019-10-28 21:41:57,69,21.35,-158.09,300.15,3.6
307,Minas Novas,70,BR,2019-10-28 21:30:52,89,-17.22,-42.59,291.87,0.4
308,Imbituba,84,BR,2019-10-28 21:43:23,88,-28.24,-48.67,296.15,4.6
309,Iskateley,50,RU,2019-10-28 21:43:24,90,67.68,53.15,263.22,2.7
310,Kloulklubed,75,PW,2019-10-28 21:43:24,94,7.04,134.26,299.15,1.5
311,Kruisfontein,86,ZA,2019-10-28 21:43:24,65,-34.0,24.73,283.57,6.2
312,Garowe,100,SO,2019-10-28 21:43:24,68,8.41,48.48,299.29,2.32
313,Provideniya,40,RU,2019-10-28 21:43:24,74,64.42,-173.23,271.15,7.0
314,Constitucion,0,MX,2019-10-28 21:43:24,71,23.99,-104.67,287.71,1.62
315,Chokurdakh,14,RU,2019-10-28 21:43:25,90,70.62,147.9,252.65,0.94
316,Turtas,33,RU,2019-10-28 21:43:25,65,58.94,69.13,269.55,4.63
317,Joensuu,75,FI,2019-10-28 21:43:25,92,62.6,29.76,270.37,2.1
318,Port Hawkesbury,1,CA,2019-10-28 21:43:25,93,45.62,-61.36,278.71,2.1
319,Rincon,87,PA,2019-10-28 21:43:25,100,8.46,-82.28,290.93,1.07
320,Bambanglipuro,72,ID,2019-10-28 21:43:26,51,-7.95,110.28,303.84,5.54
321,Boortmeerbeek,96,BE,2019-10-28 21:43:26,93,50.98,4.57,281.48,1.5
322,Point Pedro,100,LK,2019-10-28 21:43:26,82,9.82,80.23,300.51,8.7
323,Sovetskiy,0,RU,2019-10-28 21:43:26,63,56.76,48.47,271.2,1.68
324,Matiri,12,UG,2019-10-28 21:43:26,86,0.58,30.76,293.11,0.99
325,Waingapu,12,ID,2019-10-28 21:43:27,69,-9.65,120.26,301.69,3.58
326,Vaini,40,IN,2019-10-28 21:43:27,78,15.34,74.49,298.15,4.1
327,Vrangel,12,RU,2019-10-28 21:43:27,64,42.73,133.08,283.65,12.2
328,Havre-Saint-Pierre,90,CA,2019-10-28 21:43:27,79,50.23,-63.6,274.15,1.0
329,Norman Wells,90,CA,2019-10-28 21:43:27,79,65.28,-126.83,270.15,8.7
330,Komsomolskiy,38,RU,2019-10-28 21:43:27,91,67.55,63.78,261.89,6.39
331,Karratha,0,AU,2019-10-28 21:43:28,66,-20.74,116.85,300.69,5.16
332,Campos Novos,100,BR,2019-10-28 21:43:28,95,-27.4,-51.22,290.07,1.28
333,Macklin,100,CA,2019-10-28 21:43:28,83,52.34,-109.94,263.55,7.64
334,Okha,89,RU,2019-10-28 21:43:28,80,53.59,142.95,277.87,6.15
335,Fairview,5,CA,2019-10-28 21:43:28,78,56.07,-118.38,262.04,2.6
336,Kasungu,17,MW,2019-10-28 21:43:29,31,-13.04,33.48,302.45,5.3
337,Adrar,19,DZ,2019-10-28 21:42:06,43,27.87,-0.29,291.14,2.27
338,Bethel,90,US,2019-10-28 21:43:29,100,60.79,-161.76,279.15,5.1
339,Luderitz,0,NA,2019-10-28 21:43:29,62,-26.65,15.16,287.08,8.71
340,Garachine,99,PA,2019-10-28 21:43:29,81,8.06,-78.36,300.21,4.68
341,Harper,90,US,2019-10-28 21:43:29,72,30.3,-99.24,295.37,5.1
342,Hermanus,76,ZA,2019-10-28 21:43:30,67,-34.42,19.24,285.93,3.58
343,Menomonie,90,US,2019-10-28 21:43:30,86,44.88,-91.92,272.59,1.91
344,Kenai,1,US,2019-10-28 21:43:30,81,60.55,-151.26,280.15,2.6
345,Cocula,40,MX,2019-10-28 21:43:30,72,20.37,-103.82,290.15,1.5
346,Sarahan,0,IN,2019-10-28 21:43:30,22,31.51,77.79,284.0,2.9
347,Abha,0,SA,2019-10-28 21:43:31,87,18.22,42.5,290.15,2.33
348,Pangnirtung,0,CA,2019-10-28 21:43:31,76,66.15,-65.72,267.82,5.79
349,Abonnema,9,NG,2019-10-28 21:43:31,93,4.71,6.79,296.29,2.12
350,Stephenville,5,CA,2019-10-28 21:43:31,92,48.55,-58.59,272.15,1.5
351,Shwebo,0,MM,2019-10-28 21:43:31,65,22.57,95.7,303.31,2.51
352,The Valley,75,AI,2019-10-28 21:38:55,69,18.22,-63.06,301.15,5.1
353,San Andres,19,PH,2019-10-28 21:43:32,55,13.32,122.68,305.06,1.82
354,Perth,88,AU,2019-10-28 21:39:31,39,-31.95,115.86,299.26,2.6
355,Hay River,20,CA,2019-10-28 21:43:32,92,60.82,-115.79,261.15,2.6
356,Surt,100,LY,2019-10-28 21:43:32,40,31.21,16.59,294.85,2.96
357,Clyde River,90,CA,2019-10-28 21:43:32,92,70.47,-68.59,272.15,6.7
358,Kavieng,3,PG,2019-10-28 21:43:33,64,-2.57,150.8,302.83,1.46
359,Muisne,100,EC,2019-10-28 21:43:33,89,0.61,-80.02,296.46,5.53
360,Pantai Remis,75,MY,2019-10-28 21:43:33,70,4.46,100.63,304.15,1.5
361,Tiksi,61,RU,2019-10-28 21:43:33,90,71.64,128.87,254.01,0.76
362,Aykhal,90,RU,2019-10-28 21:43:33,92,65.95,111.51,261.15,3.0
363,Daru,88,PG,2019-10-28 21:43:34,70,-9.07,143.21,301.85,4.78
364,Jalu,0,LY,2019-10-28 21:43:34,34,29.03,21.55,293.17,4.33
365,Albany,40,US,2019-10-28 21:41:57,87,42.65,-73.75,285.93,2.1
366,Munsingen,90,DE,2019-10-28 21:43:34,87,48.41,9.5,280.37,3.1
367,Ambilobe,17,MG,2019-10-28 21:43:34,38,-13.19,49.05,304.86,3.26
368,Sao Filipe,35,CV,2019-10-28 21:43:35,61,14.9,-24.5,298.87,4.16
369,Bucerias,5,MX,2019-10-28 21:43:35,78,20.76,-105.33,300.15,1.5
370,Sumenep,1,ID,2019-10-28 21:43:35,60,-7.02,113.87,303.33,4.51
371,Beringovskiy,0,RU,2019-10-28 21:43:35,61,63.05,179.32,267.55,6.52
372,Half Moon Bay,0,US,2019-10-28 21:43:35,50,37.46,-122.43,287.59,1.5
373,Mansa,75,IN,2019-10-28 21:43:36,74,23.43,72.66,301.15,3.1
374,Port Alfred,38,ZA,2019-10-28 21:43:36,52,-33.59,26.89,288.71,4.02
375,Passo Fundo,2,BR,2019-10-28 21:43:36,91,-28.26,-52.41,293.24,3.79
376,Nemyriv,40,UA,2019-10-28 21:43:36,100,50.1,23.44,276.48,2.03
377,Rawson,100,AR,2019-10-28 21:43:36,54,-43.3,-65.11,287.74,6.45
378,Scarborough,0,GB,2019-10-28 21:43:37,73,54.28,-0.41,280.37,3.1
379,Hithadhoo,29,MV,2019-10-28 21:43:37,73,-0.6,73.08,301.09,3.58
380,Hokitika,26,NZ,2019-10-28 21:43:37,68,-42.72,170.96,284.19,9.7
381,Malindi,0,KE,2019-10-28 21:43:37,63,-3.22,40.12,302.0,2.35
382,Gornopravdinsk,35,RU,2019-10-28 21:43:37,83,60.06,69.92,267.42,4.23
383,Neuquen,20,AR,2019-10-28 21:43:38,37,-38.95,-68.06,287.15,4.6
384,Murdochville,95,CA,2019-10-28 21:43:38,91,48.96,-65.49,275.2,2.35
385,Nuevo Progreso,75,US,2019-10-28 21:43:38,83,26.05,-97.95,299.15,3.87
386,Fort Nelson,5,CA,2019-10-28 21:43:39,62,58.81,-122.69,266.15,1.0
387,Yeppoon,40,AU,2019-10-28 21:43:39,39,-23.13,150.74,301.15,6.2
388,Noyabrsk,42,RU,2019-10-28 21:43:39,90,63.2,75.45,260.92,5.97
389,Saint George,20,GR,2019-10-28 21:43:39,76,39.45,22.34,283.15,3.1
390,Cape Town,40,ZA,2019-10-28 21:40:53,93,-33.93,18.42,285.37,2.6
391,Redlands,1,US,2019-10-28 21:43:39,19,34.06,-117.19,290.15,0.99
392,Cap Malheureux,75,MU,2019-10-28 21:43:40,73,-19.98,57.61,298.71,3.1
393,Brae,80,GB,2019-10-28 21:43:40,87,60.4,-1.35,279.15,3.6
394,Porto Belo,88,BR,2019-10-28 21:43:40,88,-27.15,-48.54,296.15,4.6
395,Te Anau,27,NZ,2019-10-28 21:43:40,69,-45.41,167.72,281.1,2.84
396,Sisimiut,3,GL,2019-10-28 21:43:41,74,66.94,-53.67,268.05,2.42
397,Port Hedland,1,AU,2019-10-28 21:40:42,46,-20.31,118.58,307.15,6.2
398,Talavera,100,PE,2019-10-28 21:43:41,95,-13.65,-73.43,282.55,0.71
399,Vila Velha,40,BR,2019-10-28 21:43:41,61,-3.71,-38.6,300.15,8.2
400,Opportunity,90,US,2019-10-28 21:43:42,65,46.11,-112.83,259.26,4.6
401,Port-Gentil,100,GA,2019-10-28 21:43:42,84,-0.72,8.78,298.23,4.02
402,Praia da Vitoria,40,PT,2019-10-28 21:43:42,77,38.73,-27.07,291.15,12.52
403,Margate,94,AU,2019-10-28 21:43:42,9,-43.03,147.26,300.15,11.3
404,Iwanai,18,JP,2019-10-28 21:43:43,67,42.97,140.51,285.6,2.86
405,Hualmay,90,PE,2019-10-28 21:43:43,89,-11.1,-77.61,287.78,1.44
406,Barrow,26,AR,2019-10-28 21:43:43,97,-38.31,-60.23,279.42,2.39
407,Iqaluit,75,CA,2019-10-28 21:40:37,64,63.75,-68.52,274.15,9.3
408,Poum,13,MK,2019-10-28 21:43:43,49,41.28,20.71,282.17,0.59
409,General Roca,20,AR,2019-10-28 21:43:44,36,-39.03,-67.58,287.15,4.6
410,Poplar Bluff,90,US,2019-10-28 21:43:44,93,36.76,-90.39,287.15,3.6
411,Broken Hill,35,AU,2019-10-28 21:43:44,9,-31.97,141.45,304.15,4.1
412,Isangel,40,VU,2019-10-28 21:43:44,51,-19.55,169.27,301.15,6.7
413,Tianpeng,0,CN,2019-10-28 21:43:44,35,28.88,112.34,297.69,0.37
414,Talnakh,40,RU,2019-10-28 21:43:44,92,69.49,88.39,259.15,3.0
415,Lipari,40,IT,2019-10-28 21:43:45,77,38.47,14.95,293.71,2.1
416,Salalah,0,OM,2019-10-28 21:43:45,36,17.01,54.1,300.15,1.29
417,Faya,0,SA,2019-10-28 21:43:45,87,18.39,42.45,290.15,2.71
418,Saint Anthony,90,US,2019-10-28 21:43:45,78,43.97,-111.68,270.15,6.7
419,Usinsk,82,RU,2019-10-28 21:43:45,95,66.0,57.56,263.55,3.4
420,Requena,75,ES,2019-10-28 21:43:45,100,39.49,-1.1,288.71,1.5
421,San Cristobal,100,HN,2019-10-28 21:43:46,89,14.68,-86.92,291.19,1.26
422,Juru,0,BR,2019-10-28 21:43:46,86,-7.54,-37.82,291.55,2.94
423,Itarema,26,BR,2019-10-28 21:43:46,76,-2.92,-39.92,296.93,4.15
424,Khatanga,7,RU,2019-10-28 21:43:46,77,71.98,102.47,258.56,7.94
425,Porto Novo,99,BR,2019-10-28 21:43:46,73,-23.68,-45.44,295.15,3.1
426,Bathsheba,40,BB,2019-10-28 21:43:46,78,13.22,-59.52,301.15,5.7
427,Narsaq,100,GL,2019-10-28 21:43:47,74,60.91,-46.05,276.15,1.5
428,Hobyo,1,SO,2019-10-28 21:43:47,64,5.35,48.53,302.2,3.83
429,Kisangani,100,CD,2019-10-28 21:43:47,98,0.52,25.21,294.57,1.72
430,Paamiut,100,GL,2019-10-28 21:43:47,97,61.99,-49.67,275.73,0.99
431,Taoudenni,0,ML,2019-10-28 21:43:48,26,22.68,-3.98,295.64,3.4
432,Dudinka,40,RU,2019-10-28 21:43:48,92,69.41,86.18,259.15,3.0
433,Panguna,99,PG,2019-10-28 21:43:48,94,-6.32,155.48,297.62,0.47
434,Geraldton,90,CA,2019-10-28 21:43:48,79,49.72,-86.95,271.15,1.5
435,Jamestown,0,AU,2019-10-28 21:43:49,8,-33.21,138.6,303.41,4.65
436,General Pico,35,AR,2019-10-28 21:43:49,94,-35.66,-63.75,283.67,2.41
437,Kondinskoye,0,RU,2019-10-28 21:43:49,87,59.65,67.41,266.79,5.04
438,Carballo,69,ES,2019-10-28 21:43:49,88,43.21,-8.69,291.48,4.6
439,Virginia Beach,75,US,2019-10-28 21:39:15,88,36.85,-75.98,292.15,2.6
440,Nouadhibou,100,MR,2019-10-28 21:43:50,47,20.93,-17.03,300.15,6.2
441,Mwingi,72,KE,2019-10-28 21:43:50,74,-0.93,38.07,296.29,1.72
442,Coihaique,75,CL,2019-10-28 21:43:50,93,-45.58,-72.07,279.15,2.1
443,Kerouane,0,GN,2019-10-28 21:43:54,60,12.23,-12.34,292.54,1.3
444,Marystown,88,CA,2019-10-28 21:43:54,2,47.17,-55.16,278.71,0.89
445,Atyrau,40,KZ,2019-10-28 21:43:54,100,47.1,51.92,282.15,3.0
446,Chok Chai,20,TH,2019-10-28 21:43:54,62,14.73,102.17,305.15,5.1
